time,open,high,low,close,Upper Band,Lower Band,Upper Band Extended,Lower Band Extended,Fibonacci 23.6% Up,Fibonacci 38.2% Up,Fibonacci 50.0% Up,Fibonacci 61.8% Up,Fibonacci 23.6% Down,Fibonacci 38.2% Down,Fibonacci 50.0% Down,Fibonacci 61.8% Down
1623412800,37379.8,37598.2,36724.7,36819.2,55949.33821031924,15660.461789680765,59978.22585238308,11631.574147616917,40558.98741763534,43500.07539634195,45877.119105159625,48254.162813977295,31050.812582364662,28109.724603658055,25732.680894840385,23355.637186022715
1623427200,36819.2,37394.1,36506.1,37238.9,55949.33821031924,15660.461789680765,59978.22585238308,11631.574147616917,40558.98741763534,43500.07539634195,45877.119105159625,48254.162813977295,31050.812582364662,28109.724603658055,25732.680894840385,23355.637186022715
1623441600,37238.9,37486.5,36779.4,37314.6,55949.33821031924,15660.461789680765,59978.22585238308,11631.574147616917,40558.98741763534,43500.07539634195,45877.119105159625,48254.162813977295,31050.812582364662,28109.724603658055,25732.680894840385,23355.637186022715
1623456000,37314.5,37446.5,35277.2,35572,55949.33821031924,15660.461789680765,59978.22585238308,11631.574147616917,40558.98741763534,43500.07539634195,45877.119105159625,48254.162813977295,31050.812582364662,28109.724603658055,25732.680894840385,23355.637186022715
1623470400,35571.9,35710.2,35000.1,35280.6,55949.33821031924,15660.461789680765,59978.22585238308,11631.574147616917,40558.98741763534,43500.07539634195,45877.119105159625,48254.162813977295,31050.812582364662,28109.724603658055,25732.680894840385,23355.637186022715
1623484800,35280.5,35916.5,34600,35586,55949.33821031924,15660.461789680765,59978.22585238308,11631.574147616917,40558.98741763534,43500.07539634195,45877.119105159625,48254.162813977295,31050.812582364662,28109.724603658055,25732.680894840385,23355.637186022715
1623499200,35586,36225.3,35301.4,35387.2,55949.33821031924,15660.461789680765,59978.22585238308,11631.574147616917,40558.98741763534,43500.07539634195,45877.119105159625,48254.162813977295,31050.812582364662,28109.724603658055,25732.680894840385,23355.637186022715
1623513600,35387.2,35980,35301.1,35723,55949.33821031924,15660.461789680765,59978.22585238308,11631.574147616917,40558.98741763534,43500.07539634195,45877.119105159625,48254.162813977295,31050.812582364662,28109.724603658055,25732.680894840385,23355.637186022715
1623528000,35723,36126,35396.1,35534.3,55949.33821031924,15660.461789680765,59978.22585238308,11631.574147616917,40558.98741763534,43500.07539634195,45877.119105159625,48254.162813977295,31050.812582364662,28109.724603658055,25732.680894840385,23355.637186022715
1623542400,35534.4,35900,34771.1,34850,55949.33821031924,15660.461789680765,59978.22585238308,11631.574147616917,40558.98741763534,43500.07539634195,45877.119105159625,48254.162813977295,31050.812582364662,28109.724603658055,25732.680894840385,23355.637186022715
1623556800,34850.1,35480.9,34742,35276.5,55949.33821031924,15660.461789680765,59978.22585238308,11631.574147616917,40558.98741763534,43500.07539634195,45877.119105159625,48254.162813977295,31050.812582364662,28109.724603658055,25732.680894840385,23355.637186022715
1623571200,35274.5,36092.6,35167.3,35899.3,55949.33821031924,15660.461789680765,59978.22585238308,11631.574147616917,40558.98741763534,43500.07539634195,45877.119105159625,48254.162813977295,31050.812582364662,28109.724603658055,25732.680894840385,23355.637186022715
1623585600,35900.9,36166.3,35660,36034.8,55949.33821031924,15660.461789680765,59978.22585238308,11631.574147616917,40558.98741763534,43500.07539634195,45877.119105159625,48254.162813977295,31050.812582364662,28109.724603658055,25732.680894840385,23355.637186022715
